,property_type,seller,status,rate per sqft,price,area,location,RERA
354,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,602 / sq ft", 1.44 Cr,1675 ,Thanisandra,approval by RERA
355,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,602 / sq ft", 1.72 Cr,2010 ,Thanisandra,approval by RERA
356,2 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,859 / sq ft", 1.13 Cr,1281 ,Thanisandra,approval by RERA
357,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,603 / sq ft", 1.44 Cr,1684 ,Thanisandra,approval by RERA
358,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,604 / sq ft", 1.64 Cr,1907 ,Thanisandra,approval by RERA
359,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,603 / sq ft", 1.87 Cr,2181 ,Thanisandra,approval by RERA
360,2 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,859 / sq ft", 1.17 Cr,1325 ,Thanisandra,approval by RERA
361,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,604 / sq ft", 1.44 Cr,1685 ,Thanisandra,approval by RERA
362,4 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"9,247 / sq ft", 2.24 Cr,2426 ,Thanisandra,approval by RERA
363,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,605 / sq ft", 1.73 Cr,2022 ,Thanisandra,approval by RERA
364,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,604 / sq ft", 1.43 Cr,1674 ,Thanisandra,approval by RERA
365,4 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"9,247 / sq ft", 2.15 Cr,2327 ,Thanisandra,approval by RERA
366,4 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"9,247 / sq ft", 2.14 Cr,2325 ,Thanisandra,approval by RERA
367,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,602 / sq ft", 1.72 Cr,2005 ,Thanisandra,approval by RERA
368,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,605 / sq ft", 1.64 Cr,1909 ,Thanisandra,approval by RERA
369,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,602 / sq ft", 1.67 Cr,1947 ,Thanisandra,approval by RERA
370,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,604 / sq ft", 1.72 Cr,2008 ,Thanisandra,approval by RERA
371,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,603 / sq ft", 1.72 Cr,2006 ,Thanisandra,approval by RERA
372,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,605 / sq ft", 1.72 Cr,2005 ,Thanisandra,approval by RERA
373,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,603 / sq ft", 1.72 Cr,2003 ,Thanisandra,approval by RERA
374,2 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,854 / sq ft", 1.13 Cr,1279 ,Thanisandra,approval by RERA
375,2 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,853 / sq ft", 1.17 Cr,1322 ,Thanisandra,approval by RERA
376,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,602 / sq ft", 1.87 Cr,2182 ,Thanisandra,approval by RERA
377,3 BHK Apartment in Puravankara Purva Atmosphere,Puravankara Limited,Under Construction,"8,602 / sq ft", 1.67 Cr,1948 ,Thanisandra,approval by RERA
378,2 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,232 / sq ft", 85.87 L,1378 ,Varthur,approval by RERA
379,2 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,234 / sq ft", 85.47 L,1371 ,Varthur,approval by RERA
380,3 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,158 / sq ft", 1.01 Cr,1644 ,Varthur,approval by RERA
381,3 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,122 / sq ft", 1.11 Cr,1815 ,Varthur,approval by RERA
382,2 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,280 / sq ft", 78.25 L,1246 ,Varthur,approval by RERA
383,3 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,148 / sq ft", 1.03 Cr,1686 ,Varthur,approval by RERA
384,2 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,274 / sq ft", 79.18 L,1262 ,Varthur,approval by RERA
385,2 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,271 / sq ft", 79.64 L,1270 ,Varthur,approval by RERA
386,3 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,162 / sq ft", 1 Cr,1626 ,Varthur,approval by RERA
387,3 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,205 / sq ft", 90.73 L,1462 ,Varthur,approval by RERA
388,2 BHK Apartment in Ecolife Elements Of Nature Akash Block,Ecolife Developers,Under Construction,"6,285 / sq ft", 77.62 L,1235 ,Varthur,approval by RERA
389,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,106 / sq ft", 99.96 L,1637 ,Whitefield Hope Farm Junction,approval by RERA
390,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,202 / sq ft", 81.19 L,1309 ,Whitefield Hope Farm Junction,approval by RERA
391,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,257 / sq ft", 73.52 L,1175 ,Whitefield Hope Farm Junction,approval by RERA
392,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,106 / sq ft", 99.96 L,1637 ,Whitefield Hope Farm Junction,approval by RERA
393,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,277 / sq ft", 71.18 L,1134 ,Whitefield Hope Farm Junction,approval by RERA
394,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,106 / sq ft", 99.96 L,1637 ,Whitefield Hope Farm Junction,approval by RERA
395,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,187 / sq ft", 83.71 L,1353 ,Whitefield Hope Farm Junction,approval by RERA
396,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,202 / sq ft", 81.19 L,1309 ,Whitefield Hope Farm Junction,approval by RERA
397,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,211 / sq ft", 79.87 L,1286 ,Whitefield Hope Farm Junction,approval by RERA
398,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,257 / sq ft", 73.52 L,1175 ,Whitefield Hope Farm Junction,approval by RERA
399,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,277 / sq ft", 71.18 L,1134 ,Whitefield Hope Farm Junction,approval by RERA
400,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,250 / sq ft", 74.44 L,1191 ,Whitefield Hope Farm Junction,approval by RERA
401,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,187 / sq ft", 83.71 L,1353 ,Whitefield Hope Farm Junction,approval by RERA
402,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,211 / sq ft", 79.87 L,1286 ,Whitefield Hope Farm Junction,approval by RERA
403,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,250 / sq ft", 74.38 L,1190 ,Whitefield Hope Farm Junction,approval by RERA
404,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,250 / sq ft", 74.44 L,1191 ,Whitefield Hope Farm Junction,approval by RERA
405,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,281 / sq ft", 70.66 L,1125 ,Whitefield Hope Farm Junction,approval by RERA
406,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,250 / sq ft", 74.38 L,1190 ,Whitefield Hope Farm Junction,approval by RERA
407,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,281 / sq ft", 70.66 L,1125 ,Whitefield Hope Farm Junction,approval by RERA
408,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,230 / sq ft", 77.07 L,1237 ,Whitefield Hope Farm Junction,approval by RERA
409,3 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,230 / sq ft", 77.07 L,1237 ,Whitefield Hope Farm Junction,approval by RERA
410,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,277 / sq ft", 71.12 L,1133 ,Whitefield Hope Farm Junction,approval by RERA
411,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,277 / sq ft", 71.12 L,1133 ,Whitefield Hope Farm Junction,approval by RERA
412,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,353 / sq ft", 63.28 L,996 ,Whitefield Hope Farm Junction,approval by RERA
413,2 BHK Apartment in Shellton Amrutha Heights Phase II,virendar kumar,Under Construction,"6,353 / sq ft", 63.28 L,996 ,Whitefield Hope Farm Junction,approval by RERA
414,2 BHK Apartment in Pristine Grove,Pristine Homes,Under Construction,"4,848 / sq ft", 61 L,1258 ,Narayanapura on Hennur Main Road,approval by RERA
415,3 BHK Apartment in Pristine Grove,Pristine Homes,Under Construction,"4,885 / sq ft", 68 L,1392 ,Narayanapura on Hennur Main Road,approval by RERA
416,2 BHK Apartment in Pristine Grove,Pristine Homes,Under Construction,"4,886 / sq ft", 67 L,1371 ,Narayanapura on Hennur Main Road,approval by RERA
417,2 BHK Apartment in Pristine Grove,Pristine Homes,Under Construction,"4,928 / sq ft", 59 L,1197 ,Narayanapura on Hennur Main Road,approval by RERA
418,2 BHK Apartment in Pristine Grove,Pristine Homes,Under Construction,"4,919 / sq ft", 61 L,1240 ,Narayanapura on Hennur Main Road,approval by RERA
419,2 BHK Apartment in Pristine Grove,Pristine Homes,Under Construction,"4,864 / sq ft", 63 L,1295 ,Narayanapura on Hennur Main Road,approval by RERA
420,3 BHK Apartment in Pristine Grove,Pristine Homes,Under Construction,"4,991 / sq ft", 86 L,1723 ,Narayanapura on Hennur Main Road,approval by RERA
421,2 BHK Apartment in Mythri Sapphire,Mythri Builders,Under Construction,"5,428 / sq ft", 60.14 L,1108 ,Sarjapur,approval by RERA
422,2 BHK Apartment in Mythri Sapphire,Mythri Builders,Under Construction,"5,425 / sq ft", 60.55 L,1116 ,Sarjapur,approval by RERA
423,2 BHK Apartment in Mythri Sapphire,Mythri Builders,Under Construction,"5,415 / sq ft", 62.16 L,1148 ,Sarjapur,approval by RERA
424,2 BHK Apartment in Mythri Sapphire,Mythri Builders,Under Construction,"5,419 / sq ft", 61.46 L,1134 ,Sarjapur,approval by RERA
425,2 BHK Apartment in Mythri Sapphire,Mythri Builders,Under Construction,"5,409 / sq ft", 63.02 L,1165 ,Sarjapur,approval by RERA
426,2 BHK Apartment in Modern 302 West,Modern Spaaces,Under Construction,"4,000 / sq ft", 47.4 L,1185 ,Sarjapur,approval by RERA
427,3 BHK Apartment in Modern 302 West,Modern Spaaces,Under Construction,"4,000 / sq ft", 55.64 L,1391 ,Sarjapur,approval by RERA
428,3 BHK Apartment in Modern 302 West,Modern Spaaces,Under Construction,"4,000 / sq ft", 57.12 L,1428 ,Sarjapur,approval by RERA
429,2 BHK Apartment in Modern 302 West,Modern Spaaces,Under Construction,"4,000 / sq ft", 42.72 L,1068 ,Sarjapur,approval by RERA
430,2 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"4,924 / sq ft", 58.5 L,1188 ,Talaghattapura,not approval by RERA
431,2 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"5,793 / sq ft", 84 L,1450 ,Talaghattapura,not approval by RERA
432,2 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"5,313 / sq ft", 62.7 L,1180 ,Talaghattapura,not approval by RERA
433,3 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"5,835 / sq ft", 1.1 Cr,1885 ,Talaghattapura,not approval by RERA
434,3 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"5,806 / sq ft", 1.17 Cr,2015 ,Talaghattapura,not approval by RERA
435,3 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"4,788 / sq ft", 68 L,1420 ,Talaghattapura,not approval by RERA
436,3 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"4,861 / sq ft", 79 L,1625 ,Talaghattapura,not approval by RERA
437,2 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"4,818 / sq ft", 53 L,1100 ,Talaghattapura,not approval by RERA
438,3 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"4,877 / sq ft", 79.5 L,1630 ,Talaghattapura,not approval by RERA
439,2 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"5,311 / sq ft", 64.8 L,1220 ,Talaghattapura,not approval by RERA
440,3 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"4,875 / sq ft", 78.5 L,1610 ,Talaghattapura,not approval by RERA
441,4 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"5,370 / sq ft", 1.74 Cr,3240 ,Talaghattapura,not approval by RERA
442,2 BHK Apartment in Vijaya Hara Vijaya Heights,Vijaya Enterprises,Ready to move,"5,252 / sq ft", 62.5 L,1190 ,Talaghattapura,not approval by RERA
443,3 BHK Apartment in Godrej Royale Woods,Godrej Properties Ltd,Under Construction,"4,869 / sq ft", 55.99 L,1150 ,Devanahalli,approval by RERA
444,1 BHK Apartment in Godrej Royale Woods,Godrej Properties Ltd,Under Construction,"5,553 / sq ft", 23.98 L,432 ,Devanahalli,approval by RERA
445,2 BHK Apartment in Godrej Royale Woods,Godrej Properties Ltd,Under Construction,"4,736 / sq ft", 44.99 L,950 ,Devanahalli,approval by RERA
446,3 BHK Apartment in Godrej Royale Woods,Godrej Properties Ltd,Under Construction,"4,856 / sq ft", 60.99 L,1256 ,Devanahalli,approval by RERA
447,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,772 / sq ft", 83.83 L,1238 ,Krishnarajapura,approval by RERA
448,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,826 / sq ft", 76.32 L,1118 ,Krishnarajapura,approval by RERA
449,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,731 / sq ft", 1.02 Cr,1516 ,Krishnarajapura,approval by RERA
450,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,738 / sq ft", 1 Cr,1489 ,Krishnarajapura,approval by RERA
451,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,858 / sq ft", 79.62 L,1161 ,Krishnarajapura,approval by RERA
452,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,807 / sq ft", 75.21 L,1105 ,Krishnarajapura,approval by RERA
453,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,927 / sq ft", 76.27 L,1101 ,Krishnarajapura,approval by RERA
454,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,804 / sq ft", 79.2 L,1164 ,Krishnarajapura,approval by RERA
455,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,773 / sq ft", 79.58 L,1175 ,Krishnarajapura,approval by RERA
456,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,772 / sq ft", 83.83 L,1238 ,Krishnarajapura,approval by RERA
457,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,865 / sq ft", 78.67 L,1146 ,Krishnarajapura,approval by RERA
458,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,773 / sq ft", 79.58 L,1175 ,Krishnarajapura,approval by RERA
459,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,874 / sq ft", 74.03 L,1077 ,Krishnarajapura,approval by RERA
460,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,772 / sq ft", 83.83 L,1238 ,Krishnarajapura,approval by RERA
461,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,826 / sq ft", 76.32 L,1118 ,Krishnarajapura,approval by RERA
462,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,731 / sq ft", 1.02 Cr,1516 ,Krishnarajapura,approval by RERA
463,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,875 / sq ft", 73.91 L,1075 ,Krishnarajapura,approval by RERA
464,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,738 / sq ft", 1 Cr,1489 ,Krishnarajapura,approval by RERA
465,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,865 / sq ft", 96.59 L,1407 ,Krishnarajapura,approval by RERA
466,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,858 / sq ft", 79.62 L,1161 ,Krishnarajapura,approval by RERA
467,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,734 / sq ft", 95.29 L,1415 ,Krishnarajapura,approval by RERA
468,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,807 / sq ft", 75.21 L,1105 ,Krishnarajapura,approval by RERA
469,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,927 / sq ft", 76.27 L,1101 ,Krishnarajapura,approval by RERA
470,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,835 / sq ft", 78.88 L,1154 ,Krishnarajapura,approval by RERA
471,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,804 / sq ft", 79.2 L,1164 ,Krishnarajapura,approval by RERA
472,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,812 / sq ft", 78.13 L,1147 ,Krishnarajapura,approval by RERA
473,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,865 / sq ft", 78.67 L,1146 ,Krishnarajapura,approval by RERA
474,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,874 / sq ft", 74.03 L,1077 ,Krishnarajapura,approval by RERA
475,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,769 / sq ft", 94.02 L,1389 ,Krishnarajapura,approval by RERA
476,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,875 / sq ft", 73.91 L,1075 ,Krishnarajapura,approval by RERA
477,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,796 / sq ft", 76.59 L,1127 ,Krishnarajapura,approval by RERA
478,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,865 / sq ft", 96.59 L,1407 ,Krishnarajapura,approval by RERA
479,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,734 / sq ft", 95.29 L,1415 ,Krishnarajapura,approval by RERA
480,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,835 / sq ft", 78.88 L,1154 ,Krishnarajapura,approval by RERA
481,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,938 / sq ft", 73.34 L,1057 ,Krishnarajapura,approval by RERA
482,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,812 / sq ft", 78.13 L,1147 ,Krishnarajapura,approval by RERA
483,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,769 / sq ft", 94.02 L,1389 ,Krishnarajapura,approval by RERA
484,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,866 / sq ft", 95.92 L,1397 ,Krishnarajapura,approval by RERA
485,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,796 / sq ft", 76.59 L,1127 ,Krishnarajapura,approval by RERA
486,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,938 / sq ft", 73.34 L,1057 ,Krishnarajapura,approval by RERA
487,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,735 / sq ft", 85.13 L,1264 ,Krishnarajapura,approval by RERA
488,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,866 / sq ft", 95.92 L,1397 ,Krishnarajapura,approval by RERA
489,3 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,735 / sq ft", 85.13 L,1264 ,Krishnarajapura,approval by RERA
490,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,898 / sq ft", 78.15 L,1133 ,Krishnarajapura,approval by RERA
491,2 BHK Apartment in Shellton Saritha Splendor LSR,Uniidus Projects,Under Construction,"6,898 / sq ft", 78.15 L,1133 ,Krishnarajapura,approval by RERA
492,2 BHK Apartment in Godrej Royale Woods,Godrej Properties Ltd,Under Construction,"4,788 / sq ft", 49.98 L,1044 ,Devanahalli,approval by RERA
493,2 BHK Apartment in Godrej Royale Woods,Godrej Properties Ltd,Under Construction,"4,788 / sq ft", 49.98 L,1044 ,Devanahalli,approval by RERA
494,2 BHK Apartment in Godrej Royale Woods,Godrej Properties Ltd,Under Construction,"4,788 / sq ft", 49.98 L,1044 ,Devanahalli,approval by RERA
495,3 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 64.56 L,1230 ,Krishnarajapura,approval by RERA
496,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 64.82 L,1235 ,Krishnarajapura,approval by RERA
497,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 64.66 L,1232 ,Krishnarajapura,approval by RERA
498,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 63.51 L,1210 ,Krishnarajapura,approval by RERA
499,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 67.18 L,1280 ,Krishnarajapura,approval by RERA
500,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 63.77 L,1215 ,Krishnarajapura,approval by RERA
501,3 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 72.96 L,1390 ,Krishnarajapura,approval by RERA
502,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 59.31 L,1130 ,Krishnarajapura,approval by RERA
503,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 83.19 L,1585 ,Krishnarajapura,approval by RERA
504,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 62.46 L,1190 ,Krishnarajapura,approval by RERA
505,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 59.57 L,1135 ,Krishnarajapura,approval by RERA
506,2 BHK Apartment in Sree Shree Sai Sunshine,Sree Sai Builders,Under Construction,"5,248 / sq ft", 62.98 L,1200 ,Krishnarajapura,approval by RERA
507,2 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"7,000 / sq ft", 70 L,1000 ,Bannerghatta,not approval by RERA
508,2 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"7,000 / sq ft", 73.5 L,1050 ,Bannerghatta,not approval by RERA
509,1 BHK Apartment in Nandi Citadel,Nandi Housing,Ready to move,"6,650 / sq ft", 29.59 L,445 ,Bannerghatta,not approval by RERA
510,1 BHK Apartment in Provident Upstudios,Provident Housing Limited,Under Construction,"16,034 / sq ft", 41.69 L,260 ,Whitefield Hope Farm Junction,approval by RERA
511,2 BHK Apartment in Shellton Shriram WYT Field 2,Shriram Properties,Under Construction,"5,957 / sq ft", 52.9 L,888 ,Bommanahalli,approval by RERA
512,2 BHK Apartment in Shellton Shriram WYT Field 2,Shriram Properties,Under Construction,"5,957 / sq ft", 52.9 L,888 ,Bommanahalli,approval by RERA
513,2 BHK Apartment in Shellton Shriram WYT Field 2,Shriram Properties,Under Construction,"5,957 / sq ft", 52.9 L,888 ,Bommanahalli,approval by RERA
514,4 BHK Apartment in Shellton Shriram WYT Field 2,Shriram Properties,Under Construction,"5,914 / sq ft", 62.4 L,1055 ,Bommanahalli,approval by RERA
515,4 BHK Apartment in Shellton Shriram WYT Field 2,Shriram Properties,Under Construction,"5,914 / sq ft", 62.4 L,1055 ,Bommanahalli,approval by RERA
516,2 BHK Apartment in Shellton Shriram WYT Field 2,Shriram Properties,Under Construction,"5,771 / sq ft", 43 L,745 ,Bommanahalli,approval by RERA
517,2 BHK Apartment in Shellton Shriram WYT Field 2,Shriram Properties,Under Construction,"5,771 / sq ft", 43 L,745 ,Bommanahalli,approval by RERA
518,2 BHK Apartment in Sumadhura Aspire Aurum,Sumadhura Homes LLP,Under Construction,"7,157 / sq ft", 45.45 L,635 ,Kannamangala,approval by RERA
519,3 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,891 / sq ft", 1 Cr,1708 ,Gunjur,approval by RERA
520,3 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,875 / sq ft", 1.06 Cr,1809 ,Gunjur,approval by RERA
521,3 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,874 / sq ft", 85.24 L,1451 ,Gunjur,approval by RERA
522,3 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,840 / sq ft", 96.55 L,1653 ,Gunjur,approval by RERA
523,2 BHK Apartment in DSR Parkway Phase 1,DSR Infrastructure Pvt Ltd,Under Construction,"5,802 / sq ft", 71.31 L,1229 ,Gunjur,approval by RERA
